id,idade,renda_anual,pontuacao_gastos,cluster
131,51,58513,85,1
132,50,46092,33,0
133,65,31338,7,0
134,40,20412,39,2
135,41,27543,82,1
136,54,125891,41,0
137,52,53496,40,0
138,61,80692,100,1
139,57,109084,5,0
140,39,112920,51,2
141,44,143555,25,2
142,52,64425,63,1
143,18,58756,97,1
144,52,38888,58,1
145,54,55735,55,0
146,64,67295,58,0
147,31,137474,69,1
148,20,134352,100,1
149,18,103042,32,2
150,22,105999,52,2
151,43,37955,21,2
152,31,57841,20,2
153,56,90640,69,1
154,44,85510,69,1
155,26,54911,3,2
156,32,79031,93,1
157,32,108726,74,1
158,43,27357,61,1
159,59,52479,61,0
160,30,81476,93,1
161,68,64811,94,1
162,49,56208,23,0
163,56,40150,54,0
164,66,91180,8,0
165,69,63286,2,0
166,49,132856,30,0
167,21,88450,39,2
168,47,41352,100,1
169,54,75069,35,0
170,40,131888,23,2
171,56,130448,94,1
172,62,34397,5,0
173,32,61555,65,1
174,60,66959,83,1
175,46,20728,91,1
176,53,70517,74,1
177,30,139180,3,2
178,49,86234,78,1
179,24,59954,5,2
180,68,67280,93,1
181,39,99459,50,2
182,45,36779,61,1
183,19,83932,56,2
184,59,92936,65,0
185,62,44466,78,1
186,70,56939,74,0
187,23,89896,7,2
188,45,55270,25,2
189,45,79163,50,1
190,61,102637,44,0
191,61,71934,43,0
192,37,84895,4,2
193,47,52307,69,1
194,28,74098,25,2
195,45,80921,67,1
196,42,25486,18,2
197,56,28335,83,1
198,50,106900,96,1
199,18,146020,19,2
200,44,141954,11,2
201,69,122795,46,0
202,30,109112,0,2
203,58,117203,89,1
204,20,31130,13,2
205,56,107508,63,0
206,23,125955,37,2
207,25,138324,36,2
208,44,80566,10,2
209,26,86703,99,1
210,54,47192,76,1
211,50,21062,2,0
212,68,104076,32,0
213,59,109780,5,0
214,61,41545,49,0
215,41,41689,9,2
216,32,31174,4,2
217,49,108461,22,0
218,49,146174,9,0
219,41,123033,43,2
220,58,29348,1,0
221,69,43714,12,0
222,66,58102,39,0
223,66,94460,1,0
224,69,122634,83,0
225,29,109930,64,1
226,56,26801,62,1
227,19,123150,100,1
228,20,92267,72,1
229,66,68136,16,0
230,54,43625,8,0
231,66,102873,74,0
232,34,120843,14,2
233,66,92592,23,0
234,19,97052,37,2
235,19,64261,34,2
236,45,21542,93,1
237,40,41677,94,1
238,54,66732,48,0
239,49,70343,68,1
240,50,59081,61,1
241,18,82856,59,2
242,36,113105,49,2
243,19,108858,77,1
244,70,39065,74,0
245,61,144097,8,0
246,43,103460,33,2
247,49,108092,75,1
248,23,146116,98,1
249,49,74693,34,0
250,21,46962,0,2
251,28,48295,39,2
252,34,33807,63,1
253,55,62348,21,0
254,41,46432,59,1
255,22,103285,63,2
256,69,126995,92,1
257,51,111792,71,1
258,23,77854,10,2
259,39,60262,100,1
260,28,57080,13,2
261,65,21324,59,0
262,33,111267,29,2
263,50,144707,34,0
264,26,55909,84,1
265,23,109339,36,2
266,33,39870,4,2
267,46,54578,82,1
268,20,92124,77,1
269,37,137611,25,2
270,53,123605,61,0
271,36,46790,3,2
272,43,138874,88,1
273,20,45289,41,2
274,36,75129,88,1
275,37,113714,17,2
276,49,114246,39,0
277,24,35485,71,1
278,69,64482,38,0
279,58,106188,13,0
280,50,24748,31,0
281,57,106769,50,0
282,56,29435,37,0
283,35,23709,96,1
284,57,143961,22,0
285,18,50355,62,2
286,28,75771,14,2
287,45,77799,96,1
288,42,33116,24,2
289,67,45470,16,0
290,40,62344,96,1
291,48,62918,65,1
292,47,72224,77,1
293,59,59298,52,0
294,52,128492,50,0
295,24,100219,38,2
296,33,81629,50,2
297,43,86040,69,1
298,65,119518,5,0
299,69,119835,66,0
300,66,48016,6,0
301,19,43960,50,2
302,18,53591,71,1
303,65,102848,41,0
304,29,123333,63,2
305,22,131732,14,2
306,54,134821,28,0
307,49,87641,32,0
308,26,56395,93,1
309,58,131276,26,0
310,52,149695,35,0
311,36,42700,28,2
312,65,54620,37,0
313,33,123214,56,2
314,20,148148,96,1
315,37,40559,100,1
316,41,113045,26,2
317,50,113396,54,0
318,41,81642,32,2
319,69,96539,67,0
320,28,41732,85,1
321,66,148675,65,0
322,25,111362,9,2
323,53,50354,4,0
324,55,33843,73,1
325,57,130008,96,1
326,37,134065,37,2
327,52,91726,12,0
328,65,37640,30,0
329,42,72528,46,2
330,52,58413,99,1
331,42,148142,87,1
332,46,72638,51,1
333,35,72736,55,1
334,63,127892,14,0
335,35,130133,28,2
336,19,126357,7,2
337,52,88866,4,0
338,33,39087,28,2
339,58,61430,46,0
340,53,44504,67,1
341,50,27114,75,1
342,21,98859,44,2
343,50,119657,1,0
344,31,30975,26,2
345,38,31023,94,1
346,65,41447,35,0
347,37,110469,35,2
348,25,145899,25,2
349,24,43959,42,2
350,20,86203,26,2
351,34,139156,68,1
352,50,49703,19,0
353,65,29337,10,0
354,29,66427,73,1
355,68,141507,37,0
356,39,81529,5,2
357,39,122023,71,1
358,63,104665,22,0
359,47,125787,46,0
360,55,51921,89,1
361,55,53307,45,0
362,62,47355,11,0
363,68,123268,89,1
364,25,147016,12,2
365,44,24835,61,1
366,44,40159,81,1
367,51,124346,88,1
368,38,67605,96,1
369,47,141790,59,0
370,50,125616,42,0
371,45,58088,75,1
372,64,98752,99,1
373,50,75284,67,1
374,22,77043,4,2
375,65,145388,36,0
376,36,55547,71,1
377,21,117007,91,1
378,52,102844,30,0
379,66,47532,8,0
380,34,54349,50,2
381,61,142402,28,0
382,45,138012,77,1
383,47,65445,39,0
384,46,25713,40,0
385,63,76178,85,1
386,70,69407,10,0
387,23,90340,22,2
388,52,70990,0,0
389,58,95672,45,0
390,54,149473,100,1
391,41,85545,20,2
392,46,104791,89,1
393,66,78141,35,0
394,63,43793,53,0
395,70,76570,86,1
396,48,115084,56,0
397,52,57892,0,0
398,50,21015,62,1
399,69,144704,53,0
400,38,81813,54,1
401,49,47712,39,0
402,40,120497,14,2
403,50,28415,20,0
404,20,131854,46,2
405,35,132816,72,1
406,42,148778,52,2
407,59,82292,8,0
408,48,43833,73,1
409,20,24158,51,2
410,57,82680,56,0
411,63,40309,25,0
412,41,26970,40,2
413,67,92474,34,0
414,49,106704,62,1
415,64,66540,24,0
416,39,40384,89,1
417,40,38017,74,1
418,19,95880,37,2
419,44,125570,1,2
420,59,28702,6,0
421,19,20384,81,1
422,43,20404,90,1
423,34,60943,33,2
424,57,67926,90,1
425,50,49189,16,0
426,26,32763,42,2
427,60,38384,58,0
428,65,80100,50,0
429,56,118142,53,0
430,46,29860,23,0
431,59,124293,24,0
432,43,100642,70,1
433,52,70612,51,0
434,67,43574,69,0
435,42,43524,87,1
436,41,89172,32,2
437,30,30916,48,2
438,24,24809,28,2
439,53,52201,62,1
440,62,73330,21,0
441,37,33456,25,2
442,18,133748,27,2
443,25,76397,84,1
444,63,141288,48,0
445,33,58765,70,1
446,31,54816,80,1
447,29,65106,83,1
448,68,73932,48,0
449,40,37100,19,2
450,32,77091,85,1
451,45,41949,91,1
452,51,90080,62,1
453,19,57744,60,2
454,49,65543,48,0
455,40,128319,70,1
456,39,112193,0,2
457,68,56187,95,1
458,42,132734,12,2
459,39,27239,93,1
460,39,144454,86,1
461,66,34489,50,0
462,69,134937,55,0
463,59,78017,82,1
464,23,81877,61,2
465,32,63125,31,2
466,60,69922,29,0
467,54,114074,28,0
468,50,52049,48,0
469,25,57131,44,2
470,70,62944,92,1
471,61,135765,29,0
472,61,93963,15,0
473,22,126884,39,2
474,56,145917,18,0
475,21,44285,17,2
476,23,57626,0,2
477,62,62808,77,1
478,49,108464,46,0
479,69,73871,65,0
480,47,39198,91,1
481,64,39758,93,1
482,52,35254,37,0
483,57,64238,50,0
484,69,21252,62,0
485,33,59764,3,2
486,30,97709,0,2
487,67,57441,7,0
488,59,112234,28,0
489,47,73682,54,1
490,36,79494,2,2
491,34,101317,31,2
492,36,85215,9,2
493,45,98587,73,1
494,43,125185,82,1
495,54,26949,33,0
496,43,127825,96,1
497,70,75393,86,1
498,40,93553,54,1
499,26,26941,91,1
500,29,45934,31,2
